Date Sent,Company,Email,State,Email Opened,Reply,Phone Call,Converted,Notes
2026-07-14,Smoke Shop 1,2026-07-14-shop1@gmail.com,CA,No,No,No,No,
2026-07-14,Smoke Shop 2,2026-07-14-shop2@gmail.com,CA,No,No,No,No,
2026-07-14,Smoke Shop 3,2026-07-14-shop3@gmail.com,CA,No,No,No,No,
2026-07-14,Smoke Shop 4,2026-07-14-shop4@gmail.com,CA,No,No,No,No,
2026-07-14,Smoke Shop 5,2026-07-14-shop5@gmail.com,CA,No,No,No,No,
2026-07-14,Smoke Shop 6,2026-07-14-shop6@gmail.com,CA,No,No,No,No,
2026-07-14,Smoke Shop 7,2026-07-14-shop7@gmail.com,CA,No,No,No,No,
2026-07-14,Smoke Shop 8,2026-07-14-shop8@gmail.com,CA,No,No,No,No,
2026-07-14,Smoke Shop 9,2026-07-14-shop9@gmail.com,CA,No,No,No,No,
2026-07-14,Smoke Shop 10,2026-07-14-shop10@gmail.com,CA,No,No,No,No,
